Entity,Code,Year,Coal production (TWh)
India,IND,2015,3268.103
India,IND,2016,3301.831
India,IND,2017,3329.753
India,IND,2018,3555.3447
India,IND,2019,3498.8784
India,IND,2020,3497.081
India,IND,2021,3716.6062
India,IND,2022,4180.1494
India,IND,2023,4652.717
United States,USA,1900,1829.3949
United States,USA,1901,1989.593
United States,USA,1902,2075.7488
United States,USA,1903,2424.1184
United States,USA,1904,2386.544
United States,USA,1905,2664.0269
United States,USA,1906,2809.427
United States,USA,1907,3258.5337
United States,USA,1908,2820.8677
United States,USA,1909,3125.9275
United States,USA,1910,3402.5654
United States,USA,1911,3367.122
United States,USA,1912,3625.5447
United States,USA,1913,3866.313
United States,USA,1914,3483.4946
United States,USA,1915,3605.5947
United States,USA,1916,4002.2168
United States,USA,1917,4418.011
United States,USA,1918,4600.6416
United States,USA,1919,3757.7246
United States,USA,1920,4465.3286
United States,USA,1921,3435.1226
United States,USA,1922,3235.3909
United States,USA,1923,4462.884
United States,USA,1924,3877.5369
United States,USA,1925,3947.7805
United States,USA,1926,4462.203
United States,USA,1927,4055.5688
United States,USA,1928,3907.918
United States,USA,1929,4129.903
United States,USA,1930,3642.13
United States,USA,1931,2996.4993
United States,USA,1932,2439.1035
United States,USA,1933,2599.2417
United States,USA,1934,2825.5635
United States,USA,1935,2882.2935
United States,USA,1936,3351.75
United States,USA,1937,3376.9956
United States,USA,1938,2679.7727
United States,USA,1939,3030.5078
United States,USA,1940,3477.5466
United States,USA,1941,3872.6003
United States,USA,1942,4364.574
United States,USA,1943,4417.3203
United States,USA,1944,4637.3115
United States,USA,1945,4293.3154
United States,USA,1946,4052.8079
United States,USA,1947,4687.8647
United States,USA,1948,4478.1475
United States,USA,1949,3283.7112
United States,USA,1950,3827.2932
United States,USA,1951,3938.8542
United States,USA,1952,3468.0063
United States,USA,1953,3337.266
United States,USA,1954,2876.2683
United States,USA,1955,3353.9404
United States,USA,1956,3615.849
United States,USA,1957,3534.1643
United States,USA,1958,2946.5332
United States,USA,1959,2955.269
United States,USA,1960,2967.3762
United States,USA,1961,2875.1416
United States,USA,1962,3002.4707
United States,USA,1963,3257.8489
United States,USA,1964,3442.7861
United States,USA,1965,3597.9844
United States,USA,1966,3739.2
United States,USA,1967,3866.382
United States,USA,1968,3813.4382
United States,USA,1969,3911.757
United States,USA,1970,4201.817
United States,USA,1971,3810.7822
United States,USA,1972,4096.9478
United States,USA,1973,4075.4255
United States,USA,1974,4152.222
United States,USA,1975,4458.673
United States,USA,1976,4669.128
United States,USA,1977,4757.189
United States,USA,1978,4510.971
United States,USA,1979,5335.7197
United States,USA,1980,5455.289
United States,USA,1981,5116.4155
United States,USA,1982,5189.361
United States,USA,1983,4801.775
United States,USA,1984,5490.1753
United States,USA,1985,5380.465
United States,USA,1986,5431.7773
United States,USA,1987,5607.636
United States,USA,1988,5773.7217
United States,USA,1989,5947.048
United States,USA,1990,6260.9277
United States,USA,1991,6023.9595
United States,USA,1992,6040.0264
United States,USA,1993,5661.8022
United States,USA,1994,6181.4487
United States,USA,1995,6161.256
United States,USA,1996,6345.179
United States,USA,1997,6489.806
United States,USA,1998,6694.6035
United States,USA,1999,6485.757
United States,USA,2000,6329.958
United States,USA,2001,6555.921
United States,USA,2002,6329.0527
United States,USA,2003,6151.262
United States,USA,2004,6362.4253
United States,USA,2005,6455.1626
United States,USA,2006,6623.418
United States,USA,2007,6540.789
United States,USA,2008,6640.64
United States,USA,2009,6020.4224
United States,USA,2010,6135.828
United States,USA,2011,6186.829
United States,USA,2012,5756.8096
United States,USA,2013,5568.7134
United States,USA,2014,5647.8955
United States,USA,2015,4996.5073
United States,USA,2016,4083.5747
United States,USA,2017,4350.379
United States,USA,2018,4277.451
United States,USA,2019,3969.0542
United States,USA,2020,2979.9624
United States,USA,2021,3228.6084
United States,USA,2022,3353.036
United States,USA,2023,3287.912
